Open,High,Low,Close,Volume,Datetime
88907.25,89249.25,88869.83,88942.0,237.29263944,2026-01-21 02:00:00+00:00
88941.99,89495.99,88924.26,89319.06,237.69402192,2026-01-21 03:00:00+00:00
89319.06,89511.4,89220.93,89327.27,166.64323986,2026-01-21 04:00:00+00:00
89327.27,90009.7,89318.33,89847.96,286.97403517,2026-01-21 05:00:00+00:00
89847.99,89847.99,89390.2,89547.43,164.4729335,2026-01-21 06:00:00+00:00
89547.42,89658.14,88908.91,89092.77,709.23443698,2026-01-21 07:00:00+00:00
89088.73,89271.14,88874.06,89080.0,169.5481806,2026-01-21 08:00:00+00:00
89079.99,89387.16,88950.01,89001.07,161.96149786,2026-01-21 09:00:00+00:00
89001.07,89289.29,88950.17,89139.58,109.84183801,2026-01-21 10:00:00+00:00
89139.58,89283.99,88600.0,88691.8,187.44217177,2026-01-21 11:00:00+00:00
88691.73,88753.6,88107.16,88642.01,414.41203528,2026-01-21 12:00:00+00:00
88642.0,88948.99,88444.85,88580.0,375.34263604,2026-01-21 13:00:00+00:00
88575.4,89918.5,88512.11,89713.15,1115.60597337,2026-01-21 14:00:00+00:00
89710.4,90500.0,89655.92,90208.16,604.83318892,2026-01-21 15:00:00+00:00
90208.15,90290.74,87480.0,87501.32,1539.01501425,2026-01-21 16:00:00+00:00
87505.99,88068.98,87156.0,87836.0,1705.99010958,2026-01-21 17:00:00+00:00
87826.43,88570.86,87484.36,88395.99,670.22043302,2026-01-21 18:00:00+00:00
88395.97,90368.7,88194.0,90281.8,1006.18098188,2026-01-21 19:00:00+00:00
90281.8,90304.0,89367.01,90136.01,1035.4114781,2026-01-21 20:00:00+00:00
90136.0,90262.98,89873.87,90180.23,560.78836753,2026-01-21 21:00:00+00:00
90180.23,90313.78,89690.6,89690.61,186.5720392,2026-01-21 22:00:00+00:00
89690.61,90146.29,89269.65,89363.71,295.53892103,2026-01-21 23:00:00+00:00
89363.71,89955.0,89363.71,89828.22,218.77743868,2026-01-22 00:00:00+00:00
89828.21,90115.49,89737.65,90016.2,178.76194945,2026-01-22 01:00:00+00:00
90016.2,90273.35,89740.42,89850.13,192.11387755,2026-01-22 02:00:00+00:00
89850.14,90075.3,89605.99,89801.93,145.84871084,2026-01-22 03:00:00+00:00
89801.93,90000.0,89725.11,89905.96,215.8295157,2026-01-22 04:00:00+00:00
89905.96,89989.73,89826.0,89933.38,114.23991334,2026-01-22 05:00:00+00:00
89933.38,90129.4,89802.03,90080.34,134.72705547,2026-01-22 06:00:00+00:00
90080.34,90109.92,89698.08,89728.3,133.88991833,2026-01-22 07:00:00+00:00
89728.3,89881.94,89663.21,89830.43,121.32613597,2026-01-22 08:00:00+00:00
89830.43,90046.6,89796.66,89949.99,253.91734769,2026-01-22 09:00:00+00:00
89949.99,90024.65,89861.32,89989.83,195.15068223,2026-01-22 10:00:00+00:00
89989.82,90062.0,89795.08,89837.84,214.38417165,2026-01-22 11:00:00+00:00
89837.84,90003.01,89768.71,89920.14,231.94516289,2026-01-22 12:00:00+00:00
89920.14,90250.0,89383.86,89512.31,299.25839355,2026-01-22 13:00:00+00:00
89509.94,89645.24,88950.75,88991.92,765.67646081,2026-01-22 14:00:00+00:00
88985.54,89361.3,88408.65,88907.99,787.2047405,2026-01-22 15:00:00+00:00
88903.97,89187.11,88570.0,88956.0,736.65774125,2026-01-22 16:00:00+00:00
88955.99,89529.8,88922.06,89457.67,469.32879251,2026-01-22 17:00:00+00:00
89457.67,89711.0,89205.86,89245.98,354.42285285,2026-01-22 18:00:00+00:00
89245.98,89850.0,89010.0,89676.01,395.44275713,2026-01-22 19:00:00+00:00
89677.58,89868.0,89291.29,89312.0,297.37952446,2026-01-22 20:00:00+00:00
89309.97,89569.42,89114.11,89166.92,278.76171455,2026-01-22 21:00:00+00:00
89166.92,89475.61,89044.04,89261.75,179.67060057,2026-01-22 22:00:00+00:00
89257.17,89496.45,89080.0,89463.5,160.45323312,2026-01-22 23:00:00+00:00
89463.51,89550.69,89345.67,89430.66,119.84107523,2026-01-23 00:00:00+00:00
89430.01,89850.74,89430.01,89842.46,136.94489668,2026-01-23 01:00:00+00:00
