freq,horizon,model,folds,price_mae_mean,price_mae_std,price_rmse_mean,return_mae_mean,direction_acc_mean,price_mae_vs_baseline_mean,price_mae_vs_baseline_std
15m,12,zero_return,3,337.2261522945032,34.62082344067613,506.75690417485595,0.003749524302342227,0.0,1.0,0.0
15m,12,symbolic_no_volume,3,339.40916521142617,36.46496113967705,507.3126222645006,0.003766606996508366,0.5093292990418558,1.0061430707385712,0.013965093733641307
15m,12,numeric_relative,3,349.46047713917915,27.684424190902853,514.617272937265,0.0038897137516326185,0.45486636409480585,1.0379391602907206,0.024544067937889297
15m,12,seasonal_return,3,514.606742052756,71.66407590162439,716.3390882948617,0.005733634213222139,0.5179021684316693,1.5249233482093505,0.13744563948270708
15m,12,last_return,3,1272.984980535368,137.8328316123242,1936.4766799104925,0.01415521018752921,0.47705496722138174,3.7796934460979563,0.25466892770069066
1h,1,numeric_relative,3,306.1849893527563,99.60508347635226,442.6664701335726,0.003996505244198073,0.5099206349206349,0.9988173389203654,0.005440078159128764
1h,1,zero_return,3,306.67826388888903,100.51518114043866,443.5540800890913,0.00399974775598825,0.0,1.0,0.0
1h,1,symbolic_no_volume,3,308.7560599433054,97.56829146092916,443.4626109547426,0.004008192857900584,0.5148809523809524,1.0091321003781648,0.010949079119409942
1h,1,seasonal_return,3,432.37999777041244,136.7469820577952,608.1606443264299,0.005635426833569031,0.5049603174603174,1.413170384320184,0.016705658106097792
1h,1,last_return,3,439.99514598598745,143.41202116527836,618.3768060211286,0.005739585928247398,0.4851190476190476,1.435079697026793,0.01483088868394158
1h,12,numeric_relative,3,1110.7352528745996,549.8215937862818,1485.1747294205495,0.014418720587082342,0.5487179487179487,0.9894904532435967,0.026588924390569924
1h,12,symbolic_fine_body,3,1114.104885216346,541.95637826501,1484.8706727652373,0.014476624738250121,0.5261538461538461,0.9951806956842527,0.004317260422684792
1h,12,zero_return,3,1120.1121948717948,547.1891355004017,1490.9276195637785,0.01455598481029866,0.0,1.0,0.0
1h,12,seasonal_return,3,1596.0027454360745,870.4844413211937,2077.416027550123,0.02085988863003003,0.47692307692307695,1.401810445248444,0.0771039911416658
1h,12,last_return,3,3858.058741033447,1280.6797468800648,5412.598191928976,0.05036090999872115,0.4758974358974359,3.607587892277984,0.5561256794615628
