freq,horizon,model,folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,balanced_accuracy_vs_baseline_mean,balanced_accuracy_vs_baseline_std
15m,4,numeric_relative,3,0.517688091679123,0.023460403322358863,0.5191618572096218,0.031042487445754104,0.5625235161524916,0.019161857209621862,0.031042487445754056
15m,4,symbolic_fine_body,3,0.510214250124564,0.025731442618187043,0.5037406292502857,0.02347697731008109,0.5906425412435768,0.0037406292502857505,0.023476977310081092
15m,4,majority_sign,3,0.49975087194818135,0.03841098928192931,0.5,0.0,0.45615904477367125,0.0,0.0
15m,4,last_sign,3,0.4773293472845042,0.012535870080128679,0.47718152540074493,0.012247227507908512,0.4922900013644991,-0.022818474599255067,0.012247227507908496
1h,1,symbolic_no_volume,3,0.5297619047619048,0.015464739353293516,0.5382077390066767,0.013471989967014148,0.5217608808310538,0.0382077390066767,0.013471989967014134
1h,1,numeric_relative,3,0.5138888888888888,0.024239666116806762,0.5235620009812046,0.03434442073773864,0.5554729286762615,0.023562000981204683,0.03434442073773864
1h,1,majority_sign,3,0.4801587301587302,0.03126180804878713,0.5,0.0,0.6483919600794091,0.0,0.0
1h,1,last_sign,3,0.4851190476190476,0.01363861813974953,0.48301609552734553,0.015563699213894559,0.4627628329088927,-0.016983904472654483,0.015563699213894559
